id,order,start_at,script_jp,script_en
playerenglishnews_9_96624_1,1,0,"<small>マイク: </small><b>ジョセフと付き合い始めたって聞いたよ。*</b>","<small>Mike: </small><b>I heard that you and Joseph are together now.*</b>"
playerenglishnews_9_96624_2,2,3910,"<small>里紗: </small>そうなの。","<small>Lisa: </small>Yes, we are."
playerenglishnews_9_96624_3,3,5960,"<small>里紗: </small>誰から聞いた？","<small>Lisa: </small>Who did you hear that from?"
playerenglishnews_9_96624_4,4,8140,"<small>マイク: </small>ジョセフから。","<small>Mike: </small>From Joseph."
playerenglishnews_9_96624_5,5,10130,"<small>マイク: </small>で、彼のどこが好きなの？","<small>Mike: </small>So what do you like about him?"
playerenglishnews_9_96624_6,6,12710,"<small>里紗: </small>全部よ！","<small>Lisa: </small>Everything!"
playerenglishnews_9_96624_7,7,14190,"<small>里紗: </small>彼って完璧なの。","<small>Lisa: </small>He is just perfect."
playerenglishnews_9_96624_8,8,16300,"<small>マイク: </small>ほんとに？","<small>Mike: </small>Is he?"
playerenglishnews_9_96624_9,9,17860,"<small>里紗: </small>ええ、彼って優しくて、賢くて、ハンサムで、面白くって…","<small>Lisa: </small>Yes, he's kind, smart, handsome and funny..."
playerenglishnews_9_96624_10,10,22210,"<small>マイク: </small>彼に夢中なんだね。","<small>Mike: </small>You're crazy about him, aren't you?"
playerenglishnews_9_96624_11,11,25360,"<small>里紗: </small>そうだと思う。","<small>Lisa: </small>I guess I am."
playerenglishnews_9_96624_12,12,27260,"<small>マイク: </small>彼と結婚したいの？","<small>Mike: </small>Do you want to marry him?"
playerenglishnews_9_96624_13,13,29610,"<small>里紗: </small>すごく！","<small>Lisa: </small>I really do!"
